full_path,emotion_confidence,seed,quality_score,original_caption,emotion_type
00841,0.9907,841,0.902,Picture of a young girl. The hair is black. Hair color is black. Eyes are open. Face looks very sad,sad
01887,0.9907,1887,0.9844,"Picture of a woman with a teary look on her face. The hair is brown. Hair color is not a natural color, but it's a natural color. Eyes are the window to the soul. Face looks like a sad woman",sad
14965,0.99,14965,0.982,Picture of a young boy. The hair is brown. Hair color is brown. Eyes are open. Face looks sad,sad
14987,0.99,14987,0.7812,Picture of a man with a serious look on his face. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly slightly,sad
06445,0.99,6445,0.9663,Picture of a woman. The hair is long. Hair color is brown. Eyes are open. Face looks down,sad
11586,0.99,11586,0.9175,Picture of a young boy with a very curly hair. The hair is curly. Hair color is black. Eyes are open. Face looks very sad,sad
19505,0.99,19505,0.9863,Picture of a boy. The hair is brown. Hair color is brown. Eyes are open. Face looks very sad,sad
11138,0.9893,11138,0.9995,Picture of a young girl. The hair is brown. Hair color is brown. Eyes are open. Face looks sad,sad
16405,0.989,16405,0.9795,Picture of a man with a tie and a tie. The hair is black. Hair color is black. Eyes are open. Face looks very serious,sad
19149,0.989,19149,0.9995,Picture of a man. The hair is gray. Hair color is gray. Eyes are open. Face looks very sad,sad
02223,0.989,2223,0.923,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly to the left,sad
00680,0.989,680,0.9663,Picture of a young girl. The hair is short. Hair color is pink. Eyes are open. Face looks to the left,sad
01782,0.988,1782,0.831,Picture of a woman with a cell in her hand. The hair is brown. Hair color is brown. Eyes are closed. Face looks down,sad
15200,0.988,15200,0.74,Picture of a man. The hair is blonde. Hair color is blonde. Eyes are closed. Face looks down,sad
02961,0.988,2961,0.981,Picture of a boy. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
02585,0.988,2585,0.9946,Picture of a woman with long hair. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks slightly,sad
01295,0.9873,1295,0.8857,Picture of a girl. The hair is brown. Hair color is brown. Eyes are brown. Face looks slightly to the left,sad
03761,0.9873,3761,0.9546,Picture of a man. The hair is short. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
08314,0.987,8314,0.9775,Picture of a woman with a red lipstick and a gold crown. The hair is long. Hair color is brown. Eyes are open. Face looks like a woman,sad
05917,0.987,5917,0.89,Picture of a man. The hair is black. Hair color is black. Eyes are open. Face looks very sad,sad
03575,0.9863,3575,0.841,Picture of a man wearing a hat and a tie. The hair is gray. Hair color is gray. Eyes are open. Face looks slightly slightly,sad
10593,0.9863,10593,0.8687,Picture of a girl with a hat and a teddy. The hair is blonde. Hair color is blonde. Eyes are open. Face looks to the left,sad
17276,0.9863,17276,0.9116,Picture of a young boy with frcked hair. The hair is brown. Hair color is brown. Eyes are open. Face looks very sad,sad
06346,0.9863,6346,0.793,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
02805,0.986,2805,0.904,Picture of a woman. The hair is curly. Hair color is brown. Eyes are open. Face looks slightly,sad
02522,0.986,2522,0.99,Picture of a young boy. The hair is gray. Hair color is light gray. Eyes are open. Face looks slightly slightly,sad
07092,0.986,7092,0.9966,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks slightly,sad
18887,0.986,18887,0.985,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks like a man,sad
01431,0.986,1431,0.9805,Picture of a man. The hair is gray. Hair color is gray. Eyes are open. Face looks slightly slightly,sad
03309,0.986,3309,0.992,Picture of a man. The hair is gray. Hair color is gray. Eyes are open. Face looks slightly slightly,sad
12070,0.9854,12070,0.9863,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly to the left,sad
08019,0.9854,8019,0.7905,Picture of a girl. The hair is brown. Hair color is blue. Eyes are closed. Face looks sad,sad
09823,0.9854,9823,0.9873,Picture of a woman. The hair is long. Hair color is blonde. Eyes are open. Face looks slightly to the left,sad
03930,0.9854,3930,0.888,Picture of a boy. The hair is brown. Hair color is brown. Eyes are open. Face looks very sad,sad
17827,0.9854,17827,0.9956,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly,sad
01961,0.985,1961,0.9546,Picture of a woman with a cell in her hand. The hair is brown. Hair color is brown. Eyes are closed. Face looks sad,sad
08865,0.985,8865,0.709,Picture of a man with a beard. The hair is black. Hair color is black. Eyes are open. Face looks slightly slightly,sad
16120,0.985,16120,0.9697,Picture of a man. The hair is short. Hair color is light brown. Eyes are open. Face looks slightly slightly,sad
07927,0.985,7927,0.938,Picture of a woman with long hair. The hair is long. Hair color is the best option for this woman. Eyes are open. Face looks very sad,sad
00850,0.9844,850,0.9033,Picture of a girl with sunglasses on her head. The hair is brown. Hair color is brown. Eyes are blue. Face looks like a girl,sad
00498,0.9844,498,0.994,Picture of a young boy. The hair is brown. Hair color is brown. Eyes are open. Face looks very sad,sad
12837,0.9844,12837,0.9707,Picture of a woman. The hair is blonde. Hair color is blonde. Eyes are open. Face looks like a cat,sad
08771,0.9844,8771,0.8354,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks very sad,sad
03790,0.9844,3790,0.9365,Picture of a man with a black hair. The hair is black. Hair color is black. Eyes are open. Face looks slightly to the left,sad
18391,0.984,18391,0.6426,Picture of a woman with glasses. The hair is blonde. Hair color is blonde. Eyes are closed. Face looks slightly to the left,sad
10733,0.9834,10733,0.946,Picture of a girl. The hair is brown. Hair color is brown. Eyes are blue. Face looks very sad,sad
04484,0.9834,4484,0.9883,Picture of a man. The hair is gray. Hair color is brown. Eyes are open. Face looks to the left,sad
14727,0.983,14727,0.954,Picture of a young girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks to the left,sad
03924,0.983,3924,0.9995,Picture of a man. The hair is long. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
01360,0.983,1360,0.9736,Picture of a girl. The hair is long. Hair color is brown. Eyes are closed. Face looks to the left,sad
18596,0.983,18596,0.813,Picture of a young girl. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly,sad
07198,0.983,7198,0.994,Picture of a young boy with a tooth. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks very sad,sad
12936,0.983,12936,0.9673,Picture of a woman. The hair is wet. Hair color is brown. Eyes are open. Face looks very sad,sad
12647,0.9824,12647,0.991,Picture of a young boy with glasses and a tie. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly at the camera,sad
17210,0.9824,17210,0.9873,Picture of a young girl with blonde hair. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks slightly,sad
07988,0.9824,7988,0.851,Picture of a man. The hair is blonde. Hair color is light brown. Eyes are closed. Face looks slightly at the camera,sad
13764,0.9824,13764,0.966,Picture of a woman. The hair is long. Hair color is brown. Eyes are open. Face looks slightly at camera,sad
07398,0.982,7398,0.8916,Picture of a man with a black hair. The hair is black. Hair color is black. Eyes are open. Face looks slightly to the left,sad
11404,0.982,11404,0.637,Picture of a man. The hair is black. Hair color is brown. Eyes are open. Face looks slightly,sad
19458,0.982,19458,0.913,Picture of a man with a beard and a blue shirt. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly at the camera,sad
19044,0.982,19044,0.911,Picture of a woman. The hair is black. Hair color is brown. Eyes are open. Face looks slightly at camera,sad
08701,0.9814,8701,0.8364,Picture of a man with a mustache and a suit. The hair is gray. Hair color is gray. Eyes are open. Face looks slightly slightly,sad
02957,0.9814,2957,0.988,Picture of a young man with a frc. The hair is wet. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
01939,0.9814,1939,0.9434,Picture of a man. The hair is wet. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
10010,0.9814,10010,0.95,Picture of a man wearing a black hat. The hair is brown. Hair color is brown. Eyes are brown. Face looks very sad,sad
07602,0.981,7602,0.93,Picture of a little girl. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks like a bat,sad
00933,0.981,933,0.9897,"Picture of lady gaga. The hair is blonde and has blue eyes. Hair color is the new trend for fall. Eyes are the window to the soul of the world, and the world is the window to the. Face looks like a doll",sad
15111,0.981,15111,0.9897,Picture of a girl. The hair is brown. Hair color is brown. Eyes are open. Face looks like a girl,sad
02297,0.981,2297,0.959,Picture of a man with glasses and a tie. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly slightly,sad
11133,0.9805,11133,0.6655,Picture of a man with a mustache and a hat. The hair is white. Hair color is light brown. Eyes are closed. Face looks slightly slightly,sad
01811,0.9805,1811,0.9976,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks slightly at camera,sad
15604,0.9805,15604,0.8975,Picture of a woman with a green and blue make up. The hair is blonde. Hair color is green. Eyes are blue. Face looks like a mermaid,sad
19674,0.9805,19674,0.996,Picture of a man. The hair is gray. Hair color is gray. Eyes are open. Face looks slightly to the left,sad
01895,0.9805,1895,0.993,Picture of a man with a beard and a hat. The hair is wet. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
10308,0.9805,10308,0.967,Picture of a woman with a pirate hat and a fake mustache. The hair is blonde. Hair color is blonde. Eyes are black. Face looks like pirate,sad
02706,0.98,2706,0.988,Picture of a young man. The hair is brown. Hair color is blue. Eyes are open. Face looks slightly at camera,sad
11780,0.98,11780,0.9917,Picture of an old man. The hair is gray. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
04766,0.98,4766,0.9756,Picture of a man with a black hair. The hair is long. Hair color is black. Eyes are open. Face looks slightly to the left,sad
04502,0.9795,4502,0.9907,Picture of a man with long hair. The hair is long. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
01483,0.9795,1483,0.988,Picture of a woman. The hair is gray. Hair color is light brown. Eyes are closed. Face looks down,sad
04459,0.979,4459,0.9805,Picture of a man. The hair is dark. Hair color is brown. Eyes are open. Face looks very sad,sad
07378,0.979,7378,0.951,Picture of a woman with a scarf around her neck. The hair is long. Hair color is a little darker than than than than than than than than than than than than than. Eyes are closed. Face looks down,sad
14091,0.9785,14091,0.769,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks sad,sad
09439,0.9785,9439,0.9644,Picture of a girl. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly,sad
03281,0.9785,3281,0.938,Picture of a young girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly to the left,sad
13245,0.9785,13245,0.84,Picture of a man. The hair is wet. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
18038,0.9785,18038,0.842,Picture of a woman with dark brown hair and green earrings. The hair is brown and has long brown hair. Hair color is a natural color that is used to create a natural look for the face. Eyes are the most important part of a woman's face. Face looks like a face of a woman with brown hair and green earrings,sad
19013,0.978,19013,0.9834,Picture of a woman with long brown hair. The hair is long. Hair color is brown. Eyes are open. Face looks sad,sad
03856,0.978,3856,0.9883,Picture of a man. The hair is black. Hair color is black. Eyes are open. Face looks slightly slightly,sad
08251,0.978,8251,0.985,Picture of a woman with a bird on her shoulder. The hair is blonde. Hair color is blonde. Eyes are closed. Face looks down,sad
19107,0.9775,19107,0.888,Picture of a woman with a white hair. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly slightly,sad
06442,0.9775,6442,0.98,Picture of a boy. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly at camera,sad
00754,0.9775,754,0.9526,Picture of a woman. The hair is long. Hair color is red. Eyes are open. Face looks to the left,sad
00270,0.9775,270,0.779,Picture of a baby. The hair is brown. Hair color is brown. Eyes are open. Face looks like a baby,sad
04505,0.9775,4505,0.824,Picture of a man. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
11051,0.9775,11051,0.9995,Picture of a woman with long hair. The hair is long. Hair color is light brown. Eyes are open. Face looks to the left,sad
15059,0.9775,15059,0.9927,Picture of a woman with a hat on. The hair is long. Hair color is brown. Eyes are open. Face looks like a mouse,sad
19123,0.9775,19123,0.9966,Picture of a man. The hair is short. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
10329,0.977,10329,0.796,Picture of a man. The hair is gray. Hair color is dark. Eyes are open. Face looks slightly to the left,sad
11026,0.977,11026,0.9575,Picture of a woman and a child. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly at the camera,sad
07472,0.977,7472,0.9507,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks like a girl,sad
01343,0.977,1343,0.9854,Picture of a girl. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly,sad
16000,0.977,16000,0.9355,Picture of a man with a red shirt. The hair is black. Hair color is black. Eyes are open. Face looks slightly slightly,sad
17709,0.977,17709,0.8105,Picture of a young girl. The hair is black. Hair color is black. Eyes are open. Face looks very sad,sad
15299,0.9766,15299,0.9834,Picture of a man. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
11881,0.9766,11881,0.9243,Picture of a young girl with a short brown hair. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly,sad
08904,0.976,8904,0.993,Picture of a young boy with blonde hair. The hair is blonde. Hair color is blonde. Eyes are open. Face looks very sad,sad
04488,0.976,4488,0.8896,Picture of a woman with a dog. The hair is blonde. Hair color is white. Eyes are open. Face looks slightly to the left,sad
03082,0.976,3082,0.9336,Picture of a young man with a black jacket. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
06959,0.976,6959,0.954,Picture of a man with a microphone. The hair is gray. Hair color is gray. Eyes are open. Face looks like a man,sad
01874,0.976,1874,0.9956,Picture of a girl with pink hair. The hair is pink. Hair color is pink. Eyes are open. Face looks like a doll,sad
12844,0.9756,12844,0.8984,Picture of a woman. The hair is black. Hair color is black. Eyes are open. Face looks slightly to the left,sad
04394,0.9756,4394,0.9243,Picture of a woman. The hair is blonde. Hair color is red. Eyes are open. Face looks very sad,sad
01643,0.9756,1643,0.9883,Picture of a man wearing a hat and a blue jacket. The hair is blonde. Hair color is blue. Eyes are closed. Face looks to the left,sad
16624,0.9756,16624,0.853,Picture of a man with blonde hair. The hair is blonde. Hair color is blonde. Eyes are open. Face looks very sad,sad
04720,0.975,4720,0.998,Picture of a man. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
05966,0.975,5966,0.7217,Picture of a woman with glasses. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly to the left,sad
11639,0.975,11639,0.999,Picture of a young girl. The hair is brown. Hair color is brown. Eyes are blue. Face looks very sad,sad
13453,0.9746,13453,0.82,Picture of a little girl with a flower in her hair. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks very sad,sad
05728,0.9746,5728,0.9883,Picture of a boy. The hair is blonde. Hair color is blonde. Eyes are open. Face looks very sad,sad
05988,0.9746,5988,0.9746,Picture of a man in a hat and a red umbrella. The hair is blonde. Hair color is blonde. Eyes are closed. Face looks down,sad
13839,0.9746,13839,0.903,Picture of a woman with a hat and a rose. The hair is black. Hair color is black. Eyes are closed. Face looks down,sad
00011,0.9746,11,0.99,Picture of a young girl with a red hair. The hair is blonde. Hair color is red. Eyes are blue. Face looks very sad,sad
11239,0.9746,11239,0.986,Picture of a woman. The hair is long. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
14184,0.974,14184,0.8896,Picture of a man with a green shirt. The hair is gray. Hair color is brown. Eyes are open. Face looks very serious,sad
07305,0.974,7305,0.996,Picture of a man. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
12118,0.974,12118,0.9946,Picture of a woman wearing a graduation cap. The hair is brown. Hair color is blue. Eyes are open. Face looks like a woman,sad
13406,0.974,13406,0.8726,Picture of a girl with a blue and gold headdre. The hair is shiny. Hair color is blue. Eyes are closed. Face looks like a bird,sad
14707,0.974,14707,0.988,Picture of a man with a mustache and a beard. The hair is wet. Hair color is blonde. Eyes are open. Face looks slightly slightly,sad
15463,0.974,15463,0.874,Picture of a woman. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks very sad,sad
05042,0.9736,5042,0.9966,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks to the left,sad
05169,0.9736,5169,0.977,Picture of a man. The hair is black. Hair color is black. Eyes are open. Face looks very sad,sad
17450,0.9736,17450,0.955,Picture of a man. The hair is black. Hair color is black. Eyes are open. Face looks to the left,sad
12265,0.9736,12265,0.9517,Picture of a young boy. The hair is blonde. Hair color is blonde. Eyes are open. Face looks to the left,sad
05831,0.973,5831,0.9995,Picture of a little girl. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks very sad,sad
06289,0.973,6289,0.9487,Picture of a girl with pink hair and a white hat. The hair is blonde. Hair color is pink. Eyes are open. Face looks like a girl,sad
16080,0.9727,16080,0.968,Picture of a woman. The hair is long. Hair color is brown. Eyes are open. Face looks to the left,sad
11659,0.9727,11659,0.994,Picture of a woman with a flower in her hair. The hair is brown. Hair color is brown. Eyes are open. Face looks like a woman,sad
15767,0.9727,15767,0.994,Picture of a young boy. The hair is brown. Hair color is brown. Eyes are open. Face looks to the left,sad
00138,0.9727,138,0.887,Picture of a man with a white shirt. The hair is wet. Hair color is black. Eyes are open. Face looks very sad,sad
11521,0.9727,11521,0.9185,Picture of a girl. The hair is long. Hair color is red. Eyes are open. Face looks to the left,sad
00090,0.9727,90,0.956,"Picture of a young woman with a blue eye shadow. The hair is long and blonded, and the eyes are blue. Hair color is a great way to get your hair color. Eyes are the best makeup tips for summer. Face looks like a butterfly",sad
08473,0.9727,8473,0.991,Picture of a woman. The hair is dark. Hair color is brown. Eyes are open. Face looks very sad,sad
05052,0.9727,5052,0.992,Picture of a young girl. The hair is brown. Hair color is brown. Eyes are brown. Face looks slightly to the left,sad
00038,0.9727,38,0.997,Picture of a girl. The hair is brown. Hair color is brown. Eyes are blue. Face looks sad,sad
11190,0.972,11190,0.929,Picture of a young boy. The hair is curly. Hair color is brown. Eyes are blue. Face looks very sad,sad
06456,0.972,6456,0.992,Picture of a young man. The hair is curly. Hair color is black. Eyes are open. Face looks slightly to the left,sad
13368,0.972,13368,0.9844,Picture of a young boy. The hair is brown. Hair color is brown. Eyes are blue. Face looks very sad,sad
12913,0.972,12913,0.9614,Picture of a man with a blue shirt and tie. The hair is gray. Hair color is white. Eyes are open. Face looks slightly to the left,sad
18199,0.9717,18199,0.981,Picture of a woman. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
16968,0.9717,16968,0.9893,Picture of a man with a beard. The hair is long. Hair color is light brown. Eyes are open. Face looks slightly slightly,sad
11585,0.971,11585,0.937,Picture of a girl. The hair is long. Hair color is brown. Eyes are open. Face looks to the left,sad
03885,0.9707,3885,0.762,Picture of a woman. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly to the left,sad
14870,0.9707,14870,0.887,Picture of a young girl. The hair is curly. Hair color is brown. Eyes are open. Face looks sad,sad
00074,0.9707,74,0.987,Picture of a man. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly slightly,sad
04569,0.9707,4569,0.9907,Picture of a man with a cigarette in his mouth. The hair is wet. Hair color is dark. Eyes are open. Face looks slightly slightly,sad
12609,0.9707,12609,0.9517,Picture of a young girl with a flower in her hair. The hair is gray. Hair color is brown. Eyes are open. Face looks like a doll,sad
08483,0.9707,8483,0.8354,Picture of a man with a banana in his hand. The hair is black. Hair color is black. Eyes are open. Face looks down,sad
19337,0.9707,19337,0.942,Picture of a boy. The hair is black. Hair color is black. Eyes are open. Face looks slightly to the left,sad
17453,0.9697,17453,0.988,Picture of a young boy wearing a blue jacket and a green hat. The hair is long. Hair color is blue. Eyes are open. Face looks to the left,sad
04219,0.9697,4219,0.793,Picture of a woman with glasses and a red sweater. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly to the left,sad
19790,0.9697,19790,0.998,Picture of a woman. The hair is long. Hair color is brown. Eyes are open. Face looks very sad,sad
07597,0.969,7597,0.963,Picture of a woman. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly at camera,sad
07940,0.9688,7940,0.9956,Picture of a man with a beard. The hair is gray. Hair color is light gray. Eyes are open. Face looks slightly to the left,sad
12135,0.9688,12135,0.929,Picture of a man. The hair is short. Hair color is light brown. Eyes are open. Face looks slightly slightly,sad
06036,0.9688,6036,0.9917,Picture of a man. The hair is dark. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
06220,0.9683,6220,0.7188,Picture of a young boy. The hair is blonde. Hair color is blonde. Eyes are open. Face looks very sad,sad
01699,0.9683,1699,0.8926,Picture of a man. The hair is gray. Hair color is blonde. Eyes are brown. Face looks very sad,sad
06874,0.968,6874,0.7983,Picture of a little girl with a pink shirt. The hair is blonde. Hair color is red. Eyes are blue. Face looks like a little girl,sad
08344,0.968,8344,0.956,Picture of a man. The hair is short. Hair color is brown. Eyes are closed. Face looks down,sad
00549,0.968,549,0.728,Picture of a man with glasses and a cell. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly slightly,sad
10691,0.968,10691,0.963,Picture of a woman with a very short hair. The hair is wet. Hair color is black. Eyes are open. Face looks very sad,sad
18316,0.968,18316,0.998,Picture of a young girl with a red dress. The hair is brown. Hair color is brown. Eyes are blue. Face looks like a doll,sad
03607,0.9673,3607,0.9336,Picture of a young boy. The hair is dark. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
02649,0.9673,2649,0.9854,Picture of a girl. The hair is long. Hair color is dark brown. Eyes are brown. Face looks very sad,sad
08307,0.9673,8307,0.9976,Picture of a girl. The hair is blonde. Hair color is light brown. Eyes are closed. Face looks down,sad
02998,0.9673,2998,0.879,Picture of a young girl with a black hat. The hair is black. Hair color is black. Eyes are open. Face looks to the left,sad
04054,0.9673,4054,0.9863,Picture of a girl. The hair is long. Hair color is brown. Eyes are blue. Face looks very sad,sad
15939,0.967,15939,0.8174,Picture of a young boy. The hair is brown. Hair color is brown. Eyes are open. Face looks very sad,sad
11153,0.967,11153,0.6074,Picture of a woman with short hair. The hair is blonde. Hair color is blonde. Eyes are open. Face looks slightly,sad
14237,0.967,14237,0.857,Picture of a man with glasses and a tie. The hair is black. Hair color is black. Eyes are open. Face looks slightly slightly,sad
07917,0.967,7917,0.9995,Picture of a woman with a blue shirt. The hair is black. Hair color is brown. Eyes are brown. Face looks like a woman,sad
06118,0.967,6118,0.989,Picture of a woman with a ponytail. The hair is long. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
09737,0.967,9737,0.9927,Picture of a young girl with curly hair. The hair is curly. Hair color is brown. Eyes are open. Face looks to the left,sad
12951,0.967,12951,0.9995,Picture of a man. The hair is brown. Hair color is brown. Eyes are open. Face looks slightly to the left,sad
15037,0.9663,15037,0.9507,Picture of a man with a mohawk. The hair is short. Hair color is brown. Eyes are open. Face looks very angry,sad
13018,0.9663,13018,0.876,Picture of a woman with a surgical mask on. The hair is blonde. Hair color is blonde. Eyes are open. Face looks down,sad
00988,0.9663,988,0.9697,Picture of a man wearing a hat and glasses. The hair is brown. Hair color is brown. Eyes are open. Face looks like a man,sad
16991,0.9663,16991,0.988,Picture of a woman. The hair is blonde. Hair color is blonde. Eyes are blue. Face looks very sad,sad
06136,0.9663,6136,0.9355,Picture of a boy. The hair is brown. Hair color is black. Eyes are blue. Face looks slightly at camera,sad
06473,0.9663,6473,0.992,Picture of a young girl with a red shirt. The hair is brown. Hair color is brown. Eyes are brown. Face looks like a girl,sad
13559,0.9663,13559,0.8706,Picture of a woman. The hair is black. Hair color is black. Eyes are open. Face looks slightly to the left,sad
19643,0.966,19643,0.991,Picture of a girl. The hair is long. Hair color is brown. Eyes are blue. Face looks slightly at camera,sad
16698,0.966,16698,0.9946,Picture of a young girl with a blue hoodie. The hair is long. Hair color is blue. Eyes are open. Face looks like a little girl,sad
02779,0.966,2779,0.9946,Picture of a man with a tie and a suit. The hair is gray. Hair color is light brown. Eyes are open. Face looks slightly to the left,sad
18654,0.966,18654,0.955,Picture of a woman with long hair. The hair is long. Hair color is gray. Eyes are open. Face looks very sad,sad
07010,0.966,7010,0.9136,Picture of a woman wearing a hat with dons. The hair is blonde. Hair color is purple. Eyes are open. Face looks like a woman,sad
17114,0.966,17114,0.9756,Picture of a girl. The hair is long. Hair color is light blonde. Eyes are open. Face looks very sad,sad
13668,0.9653,13668,0.734,Picture of a woman wearing a hat and a black hat. The hair is brown. Hair color is brown. Eyes are open. Face looks like a pirate,sad
05348,0.9653,5348,0.9907,Picture of a boy. The hair is brown. Hair color is brown. Eyes are open. Face looks to the left,sad
17447,0.9653,17447,0.9937,Picture of a boy. The hair is gray. Hair color is light brown. Eyes are open. Face looks slightly to the right,sad
03104,0.9653,3104,0.8613,Picture of a man wearing a hat. The hair is gray. Hair color is brown. Eyes are open. Face looks slightly at camera,sad
12079,0.9653,12079,0.9434,Picture of a woman. The hair is gray. Hair color is brown. Eyes are open. Face looks like a woman,sad
